Number,Type,Polymer,Dispersion,Polar,Hydrogen Bonding,Interaction Radius
83,Binders in Solution: Alkyds and Polyesters,ALFTALAT AN 950,22.6,13.8,8.1,17.1
84,Binders in Solution: Alkyds and Polyesters,ALFTALAT AT 316,20.5,9.3,9.1,12.4
85,Binders in Solution: Alkyds and Polyesters,ALFTALAT AT 576,19.2,5.3,6.3,11.9
86,Binders in Solution: Alkyds and Polyesters,ALKYDAL F 261 HS,23.6,1,7.6,19
87,Binders in Solution: Alkyds and Polyesters,ALKYDAL F 41,20.6,4.6,5.5,12.6
88,Binders in Solution: Alkyds and Polyesters,DUROFTAL T 354,17.3,4.2,7.9,9.3
89,Binders in Solution: Alkyds and Polyesters,DYNAPOL L 812,22.6,13.1,5.8,16.8
90,Binders in Solution: Alkyds and Polyesters,DYNAPOL L 850,20,6.2,7,9.5
91,Binders in Solution: Alkyds and Polyesters,PLEXAL C-34,18.5,9.21,4.91,10.64
92,Binders in Solution: Alkyds and Polyesters,SOALKYD 1935-EGAX,18,11.6,8.5,9
93,Binders in Solution: Alkyds and Polyesters,VESTURIT BL 908,18.8,12,6,11.5
94,Binders in Solution: Alkyds and Polyesters,VESTURIT BL 915,17.7,13,7.6,11.5
95,Amino Resins,BE 370,20.7,6.1,12.7,14.8
96,Amino Resins,BEETLE 681,22.2,-0.4,10.1,18.4
97,Amino Resins,CYMEL 300,19.35,12.83,12.87,9.82
98,Amino Resins,CYMEL 325,25.5,15.2,9.5,22.2
99,Amino Resins,DYNOMIN MM 9,18.8,14,12.3,10.5
100,Amino Resins,DYNOMIN UM 15,19.9,15.8,13.4,11.7
101,Amino Resins,SOAMIN M 60,15.9,8.1,6.5,10.6
102,Amino Resins,SYNRESIN A 560,22.1,5,11.3,15.5
103,Amino Resins,PLASTOPAL H,20.81,8.29,14.96,12.69
104,Amino Resins,UFORMITE MX-61,22.7,2.8,5.4,16.2
105,Acrylate Resins,URACRON 15,19.2,7.7,5.7,10.6
106,Acrylate Resins,PARALOID P 400,19.2,9.6,9.3,12.2
107,Acrylate Resins,PARALOID P 410,19.6,9.1,6.8,12.2
108,Acrylate Resins,PARALOID EXPER. RES. QR 954,18.4,9.8,10,12.4
109,Silicone Resins,BAYSILON UD 125,19.4,9.9,10.1,6.9
110,Silicone Resins,TEFLON (SL2-),17.1,8.1,1.3,4.7
111,Special Data,DOW EPOXY NOVOLAC 438,20.3,15.4,5.3,15.1
112,Special Data,DOW EPOXY NOVOLAC 444,19.5,11.6,9.3,10
113,Special Data,ZINK SILICATE - CHEMICAL RES.,23.5,17.5,16.8,15.6
114,Special Data,2-COMP EPOXY CHEMICAL RES.,18.4,9.4,10.1,7
115,Special Data,POLYVINYLIDINE FLUORIDE SOL.,17,12.1,10.2,4.1
116,Special Data,COAL TAR PITCH SOL.,18.7,7.5,8.9,5.8
117,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NITRILE 20 MIN,17.5,7.3,6.5,5.1
118,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NITRILE 1 HR,16.6,9.1,4.4,10
119,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NITRILE 4 HR,19,12.6,3.8,13.3
120,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,BUTYL 20 MIN,16.5,1,5.1,5
121,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,BUTYL 1 HR,15.8,-2.1,4,8.2
122,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,BUTYL 4 HR (2),17.6,2.1,2.1,7
123,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NATURAL RUBBER 20 MIN,14.5,7.3,4.5,11
124,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NATURAL RUBBER 1 HR,15.6,3.4,9.1,14
125,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,NATURAL RUBBER 4 HR,19.4,13.2,7.7,19
126,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,PVC 20 MIN,16.1,7.1,5.9,9.3
127,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,PVC 1 HR,14.9,11.1,3.8,13.2
128,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,PVC 4 HR,24.4,4.9,9.9,22.7
129,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,POLYVINYLALCOHOL 20 MIN,11.2,12.4,13,12.1
130,Breakthrough Time (Bt) Correlations for Common Types of Chemical Protective Films at Practical Film Thickness,POLYVINYLALCOHOL 1 HR,15.3,13.2,13.5,8.8
