Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,2,2-tetrabromoethane",105,0.60466574,LDPE
"1,1,2,2-tetrabromoethane",100,0.42271731,LDPE
"1,1,2,2-tetrabromoethane",95,0.2954621,LDPE
"1,1,2,2-tetrabromoethane",90,0.20588354,LDPE
"1,1,2,2-tetrabromoethane",85,0.14271924,LDPE
"1,1,2,2-tetrabromoethane",80,0.09825723,LDPE
"1,1,2,2-tetrabromoethane",75,0.06709374,LDPE
"1,1,2,2-tetrabromoethane",70,0.04538811,LDPE
"1,1,2,2-tetrabromoethane",65,0.03038888,LDPE
"1,1,2,2-tetrabromoethane",60,0.02011926,LDPE
"1,1,2,2-tetrabromoethane",55,0.01316054,LDPE
"1,1,2,2-tetrabromoethane",50,0.00849874,LDPE
"1,1,2,2-tetrabromoethane",45,0.005414,LDPE
"1,1,2,2-tetrabromoethane",40,0.00339958,LDPE
"1,1,2,2-tetrabromoethane",35,0.0021025,LDPE
"1,1,2,2-tetrabromoethane",30,0.00127965,LDPE
"1,1,2,2-tetrabromoethane",25,0.00076582,LDPE
"1,1,2,2-tetrachloroethane",160,99.97413835,LDPE
"1,1,2,2-tetrachloroethane",155,99.96725851,LDPE
"1,1,2,2-tetrachloroethane",150,99.95850182,LDPE
"1,1,2,2-tetrachloroethane",145,99.94735195,LDPE
"1,1,2,2-tetrachloroethane",140,92.37198989,LDPE
"1,1,2,2-tetrachloroethane",135,67.20346755,LDPE
"1,1,2,2-tetrachloroethane",130,45.15383826,LDPE
"1,1,2,2-tetrachloroethane",125,28.82073303,LDPE
"1,1,2,2-tetrachloroethane",120,18.57215339,LDPE
"1,1,2,2-tetrachloroethane",115,12.38124218,LDPE
"1,1,2,2-tetrachloroethane",110,8.49581557,LDPE
"1,1,2,2-tetrachloroethane",105,5.94232478,LDPE
"1,1,2,2-tetrachloroethane",100,4.20376263,LDPE
"1,1,2,2-tetrachloroethane",95,2.99106459,LDPE
"1,1,2,2-tetrachloroethane",90,2.13195456,LDPE
"1,1,2,2-tetrachloroethane",85,1.51777286,LDPE
"1,1,2,2-tetrachloroethane",80,1.07678817,LDPE
"1,1,2,2-tetrachloroethane",75,0.75992667,LDPE
"1,1,2,2-tetrachloroethane",70,0.53271888,LDPE
"1,1,2,2-tetrachloroethane",65,0.370491,LDPE
"1,1,2,2-tetrachloroethane",60,0.255358,LDPE
