Solvent,Temperature (°C),Solubility (%)
"1,1,2,2-tetrachloroethane",150,25.95742747
"1,1,2,2-tetrachloroethane",145,23.64886733
"1,1,2,2-tetrachloroethane",140,21.43280687
"1,1,2,2-tetrachloroethane",135,19.31630753
"1,1,2,2-tetrachloroethane",130,17.30717683
"1,1,2,2-tetrachloroethane",125,15.41139612
"1,1,2,2-tetrachloroethane",120,13.63486808
"1,1,2,2-tetrachloroethane",115,11.98171683
"1,1,2,2-tetrachloroethane",110,10.45524111
"1,1,2,2-tetrachloroethane",105,9.05724509
"1,1,2,2-tetrachloroethane",100,7.78775410
"1,1,2,2-tetrachloroethane",95,6.64538725
"1,1,2,2-tetrachloroethane",90,5.62693256
"1,1,2,2-tetrachloroethane",85,4.72774081
"1,1,2,2-tetrachloroethane",80,3.94165948
"1,1,2,2-tetrachloroethane",75,3.26125193
"1,1,2,2-tetrachloroethane",70,2.67812193
"1,1,2,2-tetrachloroethane",65,2.18323629
"1,1,2,2-tetrachloroethane",60,1.76724086
"1,1,2,2-tetrachloroethane",55,1.42077077
"1,1,2,2-tetrachloroethane",50,1.13475305
"1,1,2,2-tetrachloroethane",45,0.90062328
"1,1,2,2-tetrachloroethane",40,0.71049838
"1,1,2,2-tetrachloroethane",35,0.55727277
"1,1,2,2-tetrachloroethane",30,0.43466599
"1,1,2,2-tetrachloroethane",25,0.33722227
"1,1,2-trichloroethane",160,37.39370412
"1,1,2-trichloroethane",155,34.69736376
"1,1,2-trichloroethane",150,32.02834937
"1,1,2-trichloroethane",145,29.39774021
"1,1,2-trichloroethane",140,26.81759093
"1,1,2-trichloroethane",135,24.30043643
"1,1,2-trichloroethane",130,21.86002295
"1,1,2-trichloroethane",125,19.51003665
"1,1,2-trichloroethane",120,17.26487754
"1,1,2-trichloroethane",115,15.13898709
"1,1,2-trichloroethane",110,13.14589199
"1,1,2-trichloroethane",105,11.29735525
"1,1,2-trichloroethane",100,9.60373983
"1,1,2-trichloroethane",95,8.07219567
"1,1,2-trichloroethane",90,6.70637746
"1,1,2-trichloroethane",85,5.50629024
"1,1,2-trichloroethane",80,4.46771968
"1,1,2-trichloroethane",75,3.58269553
"1,1,2-trichloroethane",70,2.84007355
"1,1,2-trichloroethane",65,2.22625102
"1,1,2-trichloroethane",60,1.72622699
"1,1,2-trichloroethane",55,1.32452419
"1,1,2-trichloroethane",50,1.00603338
"1,1,2-trichloroethane",45,0.75663685
"1,1,2-trichloroethane",40,0.56362660
"1,1,2-trichloroethane",35,0.41590939
"1,1,2-trichloroethane",30,0.30405470
"1,1,2-trichloroethane",25,0.22022217
"1,1,2-trichloro-1,2,2-trifluoroethane",160,1.39280442
"1,1,2-trichloro-1,2,2-trifluoroethane",155,1.04928657
"1,1,2-trichloro-1,2,2-trifluoroethane",150,0.78891377
"1,1,2-trichloro-1,2,2-trifluoroethane",145,0.59125221
"1,1,2-trichloro-1,2,2-trifluoroethane",140,0.44125076
"1,1,2-trichloro-1,2,2-trifluoroethane",135,0.32763778
"1,1,2-trichloro-1,2,2-trifluoroethane",130,0.24186385
"1,1,2-trichloro-1,2,2-trifluoroethane",125,0.17738787
"1,1,2-trichloro-1,2,2-trifluoroethane",120,0.12917696
"1,1,2-trichloro-1,2,2-trifluoroethane",115,0.09334808
"1,1,2-trichloro-1,2,2-trifluoroethane",110,0.06690353
"1,1,2-trichloro-1,2,2-trifluoroethane",105,0.04753229
"1,1,2-trichloro-1,2,2-trifluoroethane",100,0.03345819
"1,1,2-trichloro-1,2,2-trifluoroethane",95,0.02332222
"1,1,2-trichloro-1,2,2-trifluoroethane",90,0.01609052
"1,1,2-trichloro-1,2,2-trifluoroethane",85,0.01098194
"1,1,2-trichloro-1,2,2-trifluoroethane",80,0.00741084
"1,1,2-trichloro-1,2,2-trifluoroethane",75,0.00494195
"1,1,2-trichloro-1,2,2-trifluoroethane",70,0.00325482
