Solvent,Temperature (°C),Solubility (%)
"1,1,2,2-tetrachloroethane",150,11.50550760
"1,1,2,2-tetrachloroethane",145,10.45773250
"1,1,2,2-tetrachloroethane",140,9.49156124
"1,1,2,2-tetrachloroethane",135,8.60285407
"1,1,2,2-tetrachloroethane",130,7.78700071
"1,1,2,2-tetrachloroethane",125,7.04007477
"1,1,2,2-tetrachloroethane",120,6.35786277
"1,1,2,2-tetrachloroethane",115,5.73619513
"1,1,2,2-tetrachloroethane",110,5.17127567
"1,1,2,2-tetrachloroethane",105,4.65918778
"1,1,2,2-tetrachloroethane",100,4.19607000
"1,1,2,2-tetrachloroethane",95,3.77842178
"1,1,2,2-tetrachloroethane",90,3.40266290
"1,1,2,2-tetrachloroethane",85,3.06542169
"1,1,2,2-tetrachloroethane",80,2.76350741
"1,1,2,2-tetrachloroethane",75,2.49386752
"1,1,2,2-tetrachloroethane",70,2.25364973
"1,1,2,2-tetrachloroethane",65,2.04016251
"1,1,2,2-tetrachloroethane",60,1.85094000
"1,1,2,2-tetrachloroethane",55,1.68369470
"1,1,2,2-tetrachloroethane",50,1.53636342
"1,1,2,2-tetrachloroethane",45,1.40705921
"1,1,2,2-tetrachloroethane",40,1.29410844
"1,1,2,2-tetrachloroethane",35,1.19603966
"1,1,2,2-tetrachloroethane",30,1.11158411
"1,1,2,2-tetrachloroethane",25,1.03967786
"1,1,2-trichloroethane",160,12.54695204
"1,1,2-trichloroethane",155,11.02353023
"1,1,2-trichloroethane",150,9.62855417
"1,1,2-trichloroethane",145,8.35928564
"1,1,2-trichloroethane",140,7.21210954
"1,1,2-trichloroethane",135,6.18255288
"1,1,2-trichloroethane",130,5.26550644
"1,1,2-trichloroethane",125,4.45493156
"1,1,2-trichloroethane",120,3.74411057
"1,1,2-trichloroethane",115,3.12582413
"1,1,2-trichloroethane",110,2.59239644
"1,1,2-trichloroethane",105,2.13593088
"1,1,2-trichloroethane",100,1.74846385
"1,1,2-trichloroethane",95,1.42217356
"1,1,2-trichloroethane",90,1.14952585
"1,1,2-trichloroethane",85,0.92342161
"1,1,2-trichloroethane",80,0.73728723
"1,1,2-trichloroethane",75,0.58514416
"1,1,2-trichloroethane",70,0.46164114
"1,1,2-trichloroethane",65,0.36205855
"1,1,2-trichloroethane",60,0.28228799
"1,1,2-trichloroethane",55,0.21879731
"1,1,2-trichloroethane",50,0.16858315
"1,1,2-trichloroethane",45,0.12911775
"1,1,2-trichloroethane",40,0.09829365
"1,1,2-trichloroethane",35,0.07436917
"1,1,2-trichloroethane",30,0.05591671
"1,1,2-trichloroethane",25,0.04177527
"1,1,2-trichloro-1,2,2-trifluoroethane",160,0.21058524
"1,1,2-trichloro-1,2,2-trifluoroethane",155,0.15712989
"1,1,2-trichloro-1,2,2-trifluoroethane",150,0.11644185
"1,1,2-trichloro-1,2,2-trifluoroethane",145,0.08565351
"1,1,2-trichloro-1,2,2-trifluoroethane",140,0.06250881
"1,1,2-trichloro-1,2,2-trifluoroethane",135,0.04523520
"1,1,2-trichloro-1,2,2-trifluoroethane",130,0.03244384
"1,1,2-trichloro-1,2,2-trifluoroethane",125,0.02305100
"1,1,2-trichloro-1,2,2-trifluoroethane",120,0.01621543
"1,1,2-trichloro-1,2,2-trifluoroethane",115,0.01128817
"1,1,2-trichloro-1,2,2-trifluoroethane",110,0.00777221
"1,1,2-trichloro-1,2,2-trifluoroethane",105,0.00528998
"1,1,2-trichloro-1,2,2-trifluoroethane",100,0.00355719
"1,1,2-trichloro-1,2,2-trifluoroethane",95,0.00236182
"1,1,2-trichloro-1,2,2-trifluoroethane",90,0.00154742
"1,1,2-trichloro-1,2,2-trifluoroethane",85,0.00099979
"1,1,2-trichloro-1,2,2-trifluoroethane",80,0.00063659
"1,1,2-trichloro-1,2,2-trifluoroethane",75,0.00039916
"1,1,2-trichloro-1,2,2-trifluoroethane",70,0.00024629
"1,1,2-trichloro-1,2,2-trifluoroethane",65,0.00014943
"1,1,2-trichloro-1,2,2-trifluoroethane",60,0.00008907
"1,1,2-trichloro-1,2,2-trifluoroethane",55,0.00005211
"1,1,2-trichloro-1,2,2-trifluoroethane",50,0.00002990
"1,1,2-trichloro-1,2,2-trifluoroethane",45,0.00001681
"1,1,2-trichloro-1,2,2-trifluoroethane",40,0.00000925
"1,1,2-trichloro-1,2,2-trifluoroethane",35,0.00000497
"1,1,2-trichloro-1,2,2-trifluoroethane",30,0.00000261
"1,1,2-trichloro-1,2,2-trifluoroethane",25,0.00000134
"1,1,3,3-tetramethoxypropane",160,3.70673713
"1,1,3,3-tetramethoxypropane",155,2.99764136
"1,1,3,3-tetramethoxypropane",150,2.40814138
"1,1,3,3-tetramethoxypropane",145,1.92172414
"1,1,3,3-tetramethoxypropane",140,1.52330224
"1,1,3,3-tetramethoxypropane",135,1.19931489
"1,1,3,3-tetramethoxypropane",130,0.93774600
"1,1,3,3-tetramethoxypropane",125,0.72808432
"1,1,3,3-tetramethoxypropane",120,0.56124100
"1,1,3,3-tetramethoxypropane",115,0.42944014
"1,1,3,3-tetramethoxypropane",110,0.32609456
"1,1,3,3-tetramethoxypropane",105,0.24567587
"1,1,3,3-tetramethoxypropane",100,0.18358544
"1,1,3,3-tetramethoxypropane",95,0.13603109
"1,1,3,3-tetramethoxypropane",90,0.09991219
"1,1,3,3-tetramethoxypropane",85,0.07271499
"1,1,3,3-tetramethoxypropane",80,0.05241894
"1,1,3,3-tetramethoxypropane",75,0.03741393
"1,1,3,3-tetramethoxypropane",70,0.02642830
"1,1,3,3-tetramethoxypropane",65,0.01846690
"1,1,3,3-tetramethoxypropane",60,0.01275830
"1,1,3,3-tetramethoxypropane",55,0.00871038
"1,1,3,3-tetramethoxypropane",50,0.00587334
"1,1,3,3-tetramethoxypropane",45,0.00390913
"1,1,3,3-tetramethoxypropane",40,0.00256654
"1,1,3,3-tetramethoxypropane",35,0.00166111
"1,1,3,3-tetramethoxypropane",30,0.00105907
"1,1,3,3-tetramethoxypropane",25,0.00066466
"1,1-dibromoethane",160,2.83420671
"1,1-dibromoethane",155,2.25387440
"1,1-dibromoethane",150,1.78219866
"1,1-dibromoethane",145,1.40126144
"1,1-dibromoethane",140,1.09547042
"1,1-dibromoethane",135,0.85145294
"1,1-dibromoethane",130,0.65787272
"1,1-dibromoethane",125,0.50521151
"1,1-dibromoethane",120,0.38554275
"1,1-dibromoethane",115,0.29231337
"1,1-dibromoethane",110,0.22014207
"1,1-dibromoethane",105,0.16463832
"1,1-dibromoethane",100,0.12224239
"1,1-dibromoethane",95,0.09008665
"1,1-dibromoethane",90,0.06587590
"1,1-dibromoethane",85,0.04778542
"1,1-dibromoethane",80,0.03437460
"1,1-dibromoethane",75,0.02451430
