Solvent,Temperature (°C),Solubility (%)
"1,1,2,2-tetrachloroethane",150,14.67718803
"1,1,2,2-tetrachloroethane",145,12.93709890
"1,1,2,2-tetrachloroethane",140,11.34073320
"1,1,2,2-tetrachloroethane",135,9.88474534
"1,1,2,2-tetrachloroethane",130,8.56490233
"1,1,2,2-tetrachloroethane",125,7.37600161
"1,1,2,2-tetrachloroethane",120,6.31262917
"1,1,2,2-tetrachloroethane",115,5.36853673
"1,1,2,2-tetrachloroethane",110,4.53666267
"1,1,2,2-tetrachloroethane",105,3.80954158
"1,1,2,2-tetrachloroethane",100,3.17909494
"1,1,2,2-tetrachloroethane",95,2.63699696
"1,1,2,2-tetrachloroethane",90,2.17470058
"1,1,2,2-tetrachloroethane",85,1.78363101
"1,1,2,2-tetrachloroethane",80,1.45539723
"1,1,2,2-tetrachloroethane",75,1.18196464
"1,1,2,2-tetrachloroethane",70,0.95579114
"1,1,2,2-tetrachloroethane",65,0.76993166
"1,1,2,2-tetrachloroethane",60,0.61812016
"1,1,2,2-tetrachloroethane",55,0.49479519
"1,1,2,2-tetrachloroethane",50,0.39510299
"1,1,2,2-tetrachloroethane",45,0.31486485
"1,1,2,2-tetrachloroethane",40,0.25053038
"1,1,2,2-tetrachloroethane",35,0.19911726
"1,1,2,2-tetrachloroethane",30,0.15814580
"1,1,2,2-tetrachloroethane",25,0.12557191
"1,1,2-trichloroethane",160,21.52488985
"1,1,2-trichloroethane",155,19.02566879
"1,1,2-trichloroethane",150,16.68368705
"1,1,2-trichloroethane",145,14.50593850
"1,1,2-trichloroethane",140,12.49851961
"1,1,2-trichloroethane",135,10.66544943
"1,1,2-trichloroethane",130,9.00936196
"1,1,2-trichloroethane",125,7.53029660
"1,1,2-trichloroethane",120,6.22564144
"1,1,2-trichloroethane",115,5.08983491
"1,1,2-trichloroethane",110,4.11468312
"1,1,2-trichloroethane",105,3.28930812
"1,1,2-trichloroethane",100,2.60065270
"1,1,2-trichloroethane",95,2.03421583
"1,1,2-trichloroethane",90,1.57474248
"1,1,2-trichloroethane",85,1.20697574
"1,1,2-trichloroethane",80,0.91631817
"1,1,2-trichloroethane",75,0.68933120
"1,1,2-trichloroethane",70,0.51404169
"1,1,2-trichloroethane",65,0.38009021
"1,1,2-trichloroethane",60,0.27873619
"1,1,2-trichloroethane",55,0.20276278
"1,1,2-trichloroethane",50,0.14632286
"1,1,2-trichloroethane",45,0.10475596
"1,1,2-trichloroethane",40,0.07440065
"1,1,2-trichloroethane",35,0.05241709
"1,1,2-trichloroethane",30,0.03662809
"1,1,2-trichloroethane",25,0.02538230
"1,1,2-trichloro-1,2,2-trifluoroethane",160,0.38443696
"1,1,2-trichloro-1,2,2-trifluoroethane",155,0.27718394
"1,1,2-trichloro-1,2,2-trifluoroethane",150,0.19857984
"1,1,2-trichloro-1,2,2-trifluoroethane",145,0.14126064
"1,1,2-trichloro-1,2,2-trifluoroethane",140,0.09971314
"1,1,2-trichloro-1,2,2-trifluoroethane",135,0.06980356
"1,1,2-trichloro-1,2,2-trifluoroethane",130,0.04843520
"1,1,2-trichloro-1,2,2-trifluoroethane",125,0.03329492
"1,1,2-trichloro-1,2,2-trifluoroethane",120,0.02266256
"1,1,2-trichloro-1,2,2-trifluoroethane",115,0.01526642
"1,1,2-trichloro-1,2,2-trifluoroethane",110,0.01017292
"1,1,2-trichloro-1,2,2-trifluoroethane",105,0.00670214
"1,1,2-trichloro-1,2,2-trifluoroethane",100,0.00436330
