polymer,solvent,n_points,n_dropped_100,t_min_c,t_max_c,mk_A,mk_B,mk_C,mk_r2,mk_rmse_lns,mk_mae_pct,mk_rmse_pct,mk_max_err_pct,mk_category,apel_A,apel_B,apel_C,apel_r2,apel_rmse_lns,apel_mae_pct,apel_rmse_pct,apel_max_err_pct,apel_category,delta_r2,winner
EVOH,"1,2-dimethylbenzene",28,0,25.0,160.0,37.46081546214556,-14339.338100472736,-230269.21286915778,0.99912035,0.14400335643598408,0.7724795044203113,3.0581053603429553,15.813833505574575,fitted,54.907554194356024,-16448.19511446673,-2.272082668075996,0.99911013,0.14483694111032236,0.7631698157633247,3.0049797117506727,15.551804009324808,fitted,-1.022e-05,mk
EVOH,"1,4-dimethylbenzene",28,0,25.0,160.0,37.16387097194073,-14149.191623276949,-270819.6784590352,0.99911694,0.14463102252901047,0.7312533385497331,2.9383461515250895,15.268242018834226,fitted,59.36461421974097,-16716.93270570631,-2.9163330551161213,0.99910467,0.14563290915566565,0.7231961655276178,2.8919393864128646,15.037218759704484,fitted,-1.227e-05,mk
EVOH,"2,3-dihydropyran",28,0,25.0,160.0,36.87618987298338,-14882.781590211172,318736.17868641793,0.99988361,0.043845416753941574,0.5156756453161374,1.3346212932050412,5.45845594494083,fitted,-1.6514791978951864,-11215.47366465663,5.232377217033869,0.99988845,0.042924136339395534,0.5173272706300063,1.3777395965878076,5.885486343597542,fitted,4.84e-06,tie
EVOH,2-propanol,28,0,25.0,160.0,10.333588491050609,2100.439424953294,-1997892.5819476056,0.99891755,0.09347441062097302,1.7514230179405657,4.194508520002023,18.423368531461676,fitted,247.77105226346072,-20675.556692808863,-32.20793125657101,0.9991597,0.08235779937154587,1.4848398562078764,3.512147640839024,15.385450027207213,fitted,0.00024215,apelblat
EVOH,acetylacetone,28,0,25.0,160.0,21.48089942060691,-4745.630643615363,-1171460.9111732242,0.99978073,0.05211160526912718,0.7727919411051533,2.268241534702757,10.939092797703012,fitted,160.076511460779,-18067.748588479106,-18.794265277899772,0.99982644,0.046362549116531024,0.6810071672928698,1.9881971077910339,9.614850162916824,fitted,4.571e-05,apelblat
EVOH,benzene,28,0,25.0,160.0,39.14957341094327,-15044.768167433409,-91367.19545687689,0.99946447,0.11179777775095687,0.935475049488252,2.6963680803370496,9.738773232438675,fitted,41.80346537948532,-15659.381731830194,-0.2818043142550392,0.99946187,0.11206850463254858,0.8970131356539863,2.5768220887078517,9.428303521100034,fitted,-2.6e-06,tie
EVOH,butanone,28,0,25.0,160.0,11.68434819152857,1325.3682140424587,-1925082.9831979342,0.99904076,0.0914894205949323,1.5875272365157171,3.8936475496507827,17.23539999555426,fitted,240.56542428118127,-20625.62453990667,-31.048194423504864,0.99925182,0.08079964284109033,1.3486372435135459,3.2683779337085523,14.438100761401515,fitted,0.00021106,apelblat
EVOH,ch2cl2,28,0,25.0,160.0,15.105003428462869,624.2595930342978,-2254983.896870931,0.99902787,0.11686141776650752,2.0397722266964693,5.454596769332162,24.88190046620595,fitted,283.1217851706965,-25083.91074869635,-36.35620009125336,0.99920572,0.10563212416036029,1.8032058266276636,4.718453499494531,21.48028555457509,fitted,0.00017785,apelblat
EVOH,chcl3,28,0,25.0,160.0,30.52919055780364,-11873.52932399569,184641.18649280482,0.99995498,0.022569644705786342,0.3216148986325425,0.9899096469723039,4.957948468928059,fitted,9.963109863045364,-9840.299705963824,2.7766219537527825,0.99995331,0.022984868646183258,0.3262561240392774,1.0017851843054255,5.015381257610663,fitted,-1.67e-06,tie
EVOH,cyclohexane,28,0,25.0,160.0,29.473797084425648,-8909.355423496501,-1402518.0826531476,0.99987897,0.05737070347528905,0.050470636963072475,0.1969073665760947,1.0212450103678314,fitted,187.7331939064182,-24459.817258095696,-21.387322402505472,0.99985316,0.06319112284972413,0.05289971229568844,0.2054684459597217,1.064261098759805,fitted,-2.581e-05,mk
