Model,Accuracy,Precision,Recall,F1,ROC-AUC,Threshold
Random Forest,0.9999738728303563,0.9999666755531859,0.9999833374989586,0.9999750064566655,0.9999999975678731,0.24310619571871706
Gradient Boosting,0.9999738728303563,0.9999666755531859,0.9999833374989586,0.9999750064566655,0.9999999975678732,0.0329075362699658
Logistic Regression,0.9997213101904671,0.9997333999833375,0.9997333999833375,0.9997333999833375,0.9999997260817136,0.477623126685857
XGBoost,0.9995384200029611,0.9991176666444695,1.0,0.999558638608296,0.9999971708284431,0.4912661910057068
LightGBM,0.99908554906247,0.9983198030343359,0.9999333499958344,0.999125925062642,0.9999955376552642,0.4970803145780822
