Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
1-Methyl-Trans-2-Ethylcyclopentane,C[C@H]1[C@H](CC)CCC1,930-90-5,5.558,1.003,0.5012484413940855,low-fidelity RED
Cadinene,C[C@H]1CC[C@H]([C@H]2[C@H]1C=C[C@@H](C2)C)C(C)C,29350-73-0,5.678,1.177,0.8989577298182599,low-fidelity RED
1-Methyl-Cis-2-Ethylcyclopentane,C[C@H]1CCC[C@H]1CC,930-89-2,5.558,1.003,0.5012484413940855,low-fidelity RED
Alloaromadendrene,C[C@H]1CCC2C1[C@H]3[C@H](C3(C)C)CCC2=C,25246-27-9,5.538,1.286,0.7558108228915489,low-fidelity RED
"2,3-Dimethyl-2-Butene",C/C(C)=C(C)/C,563-79-1,5.729,0.7421,0.8692669325356855,low-fidelity RED
"2,3,4-Trimethyl-2-Pentene",C/C(C)=C(C)/C(C)C,565-77-5,6.083,0.852,0.6025985396596976,low-fidelity RED
"2,3-Dimethyl-2-Hexene",C/C(C)=C(C)/CCC,7145-20-2,6.066,0.7873,0.729725975966321,low-fidelity RED
2-Methyl-3-Ethyl-2-Pentene,C/C(C)=C(CC)/CC,19780-67-7,5.785,0.7865,0.7365459931328118,low-fidelity RED
"2,4,4-Trimethyl-2-Pentene",C/C(C)=C/C(C)(C)C,107-40-4,5.749,1.031,0.5031152949374527,low-fidelity RED
2-Methyl-2-Hexene,C/C(C)=C/CCC,2738-19-4,6.029,0.9387,0.8459462157844314,low-fidelity RED
2-Methyl-2-Butene,C/C(C)=C\C,513-35-9,5.87,0.8008,0.8863548950617919,high-fidelity RED
2-Methyl-2-Pentene,C/C(C)=C\CC,625-27-4,5.895,0.927,0.95818839483684,low-fidelity RED
3-Methyl-Cis-3-Hexene,C/C(CC)=C/CC,4914-89-0,5.815,0.9028,0.8547660498639378,low-fidelity RED
3-Methyl-Trans-3-Hexene,C/C(CC)=C\CC,3899-36-3,5.815,0.9028,0.8547660498639378,low-fidelity RED
Trans-2-Dodecene,C/C=C/CCCCCCCCC,7206-13-5,5.821,0.9439,0.8923284148787377,low-fidelity RED
5-Methyl-Cis-2-Hexene,C/C=C\CC(C)C,13151-17-2,5.733,1.03,0.8400148808205721,low-fidelity RED
Cis-2-Heptene,C/C=C\CCCC,6443-92-1,5.683,1.002,0.95818839483684,low-fidelity RED
Cis-2-Dodecene,C/C=C\CCCCCCCCC,7206-26-0,5.821,0.9439,0.8923284148787377,low-fidelity RED
3-Carene,C\1(=C\CC2C(C/1)C2(C)C)C,498-15-7,5.807,1.191,0.9424038412485375,low-fidelity RED
"3,4-Dimethyl-Trans-2-Pentene",C\C(C(C)C)=C/C,4914-92-5,5.922,0.8917,0.724568837309472,low-fidelity RED
"3,4-Dimethyl-Cis-2-Pentene",C\C(C(C)C)=C\C,4914-91-4,5.922,0.8917,0.724568837309472,low-fidelity RED
"2,3-Dimethyl-2-Pentene",C\C(C)=C(C)/CC,10574-37-5,5.969,0.7886,0.8015609770940698,low-fidelity RED
"2,4-Dimethyl-2-Pentene",C\C(C)=C/C(C)C,625-65-0,6.151,0.8975,0.724568837309472,low-fidelity RED
2-Methyl-2-Heptene,C\C(C)=C\CCCC,627-97-4,6.218,0.9883,0.8280247580839598,low-fidelity RED
3-Methyl-Trans-2-Pentene,C\C(CC)=C/C,616-12-6,6.27,0.8906,0.95818839483684,low-fidelity RED
3-Methyl-Cis-2-Pentene,C\C(CC)=C\C,922-62-3,6.27,0.8906,0.95818839483684,low-fidelity RED
3-Methyl-Trans-2-Hexene,C\C(CCC)=C/C,20710-38-7,5.926,0.9639,0.8459462157844314,low-fidelity RED
3-Methyl-Cis-2-Hexene,C\C(CCC)=C\C,10574-36-4,5.926,0.9639,0.8459462157844314,low-fidelity RED
"3,4-Dimethyl-Trans-2-Hexene",C\C=C(/C)C(C)CC,19550-82-4,5.984,0.9598,0.6103277807866849,low-fidelity RED
3-Methyl-Trans-2-Heptene,C\C=C(/C)CCCC,22768-20-3,6.19,0.8713,0.8280247580839598,low-fidelity RED
4-Methyl-3-Ethyl-Trans-2-Pentene,C\C=C(/CC)C(C)C,42067-49-2,6.097,0.968,0.6754628043053148,low-fidelity RED
"3,4,4-Trimethyl-Cis-2-Pentene",C\C=C(\C)C(C)(C)C,39761-64-3,5.691,0.7828,0.5031152949374527,low-fidelity RED
3-Methyl-Cis-2-Heptene,C\C=C(\C)CCCC,22768-19-0,6.19,0.8713,0.8280247580839598,low-fidelity RED
4-Methyl-3-Ethyl-Cis-2-Pentene,C\C=C(\CC)C(C)C,42067-48-1,6.097,0.968,0.6754628043053148,low-fidelity RED
"5,5-Dimethyl-Cis-2-Hexene",C\C=C/CC(C)(C)C,39761-61-0,5.567,0.9763,0.6547900426854396,low-fidelity RED
Cis-2-Octene,C\C=C/CCCCC,4/8/42 0:00,5.874,0.959,0.9890020222426241,low-fidelity RED
4-Ethyl-Trans-2-Hexene,C\C=C\C(CC)CC,19781-63-6,6.039,1.015,0.8806957476904267,low-fidelity RED
"5,5-Dimethyl-Trans-2-Hexene",C\C=C\CC(C)(C)C,39782-43-9,5.567,0.9763,0.6547900426854396,low-fidelity RED
6-Methyl-Trans-2-Heptene,C\C=C\CCC(C)C,51065-65-7,5.605,0.9933,0.8477912478906584,low-fidelity RED
"2,3,3-Trimethyl-1-Pentene",C=C(/C)C(C)(C)CC,560-23-6,5.927,0.8841,0.42720018726587655,low-fidelity RED
3-Methyl-2-Isopropyl-1-Butene,C=C(C(C)C)C(C)C,111823-35-9,6.123,1.04,0.3937003937005905,low-fidelity RED
Isobutylene,C=C(C)C,115-11-7,5.616,0.8597,0.6562202374203344,high-fidelity RED
"2,3,4-Trimethyl-1-Pentene",C=C(C)C(C)C(C)C,565-76-4,5.997,0.9633,0.4802343178074636,low-fidelity RED
"2,3-Dimethyl-1-Pentene",C=C(C)C(C)CC,3404-72-6,6.126,0.9537,0.4802343178074636,low-fidelity RED
"2,3-Dimethyl-1-Hexene",C=C(C)C(C)CCC,16746-86-4,5.684,1.008,0.5894913061275796,low-fidelity RED
"2,4-Dimethyl-1-Hexene",C=C(C)CC(C)CC,16746-87-5,6.066,1.046,0.48347699014534273,low-fidelity RED
"2-Methyl-1,4-Pentadiene",C=C(C)CC=C,763-30-4,5.744,0.9289,0.9877373132569205,low-fidelity RED
"1,5-Hexadiene, 2,5-Dimethyl-",C=C(C)CCC(C)=C,627-58-7,6.232,0.9241,0.8003905296791061,low-fidelity RED
"2,5-Dimethyl-1-Hexene",C=C(C)CCC(C)C,6975-92-4,6.294,0.8964,0.6103277807866851,low-fidelity RED
2-Methyl-1-Hexene,C=C(C)CCCC,2/6/94 0:00,6.222,0.8712,0.68829499489681,low-fidelity RED
2-Methyl-1-Heptene,C=C(C)CCCCC,15870-10-7,6.472,0.9018,0.7176350047203662,low-fidelity RED
2-Methyl-1-Octene,C=C(C)CCCCCC,4588-18-5,6.417,0.9021,0.7035623639735143,low-fidelity RED
2-Methyl-1-Nonene,C=C(C)CCCCCCC,2980-71-4,6.417,0.9021,0.7420411039827913,low-fidelity RED
2-Methyl-1-Decene,C=C(C)CCCCCCCC,13151-27-4,6.417,0.9021,0.6504805915628841,low-fidelity RED
2-Methyl-1-Tridecene,C=C(C)CCCCCCCCCCC,18094-01-4,6.417,0.9021,0.6955213871621778,low-fidelity RED
2-Methyl-1-Pentadecene,C=C(C)CCCCCCCCCCCCC,29833-69-0,6.417,0.9021,0.6694213919497942,low-fidelity RED
"3,3-Dimethyl-2-Ethyl-1-Butene",C=C(CC)C(C)(C)C,18231-53-3,5.538,0.9981,0.4007804885470351,low-fidelity RED
3-Methyl-2-Ethyl-1-Butene,C=C(CC)C(C)C,7357-93-9,5.976,0.9754,0.5667892024377317,low-fidelity RED
3-Methyl-2-Ethyl-1-Pentene,C=C(CC)C(C)CC,3404-67-9,5.943,1.003,0.4190763653560052,low-fidelity RED
2-Ethyl-1-Butene,C=C(CC)CC,760-21-4,5.733,0.8166,0.972753822917186,high-fidelity RED
4-Methyl-2-Ethyl-1-Pentene,C=C(CC)CC(C)C,3404-80-6,5.636,1.007,0.550567888638631,low-fidelity RED
2-Ethyl-1-Pentene,C=C(CC)CCC,3404-71-5,5.51,0.9813,0.6619101147436863,low-fidelity RED
2-Ethyl-1-Hexene,C=C(CC)CCCC,1632-16-2,5.796,0.9481,0.6334429729659964,low-fidelity RED
β-Pinene,C=C(CC2)C1C(C)(C)C2C1,127-91-3,5.814,1.073,0.8291561975888495,low-fidelity RED
2-Isopropyl-1-Pentene,C=C(CCC)C(C)C,16746-02-4,6.546,1.118,0.4879805323985783,low-fidelity RED
2-Propyl-1-Pentene,C=C(CCC)CCC,15918-08-8,5.719,0.9449,0.5857687256929991,low-fidelity RED
"3,5,5' Trimethyl Hexene",C=C\C(C)CC(C)(C)C,4316-65-8,5.616,1.017,0.447213595499958,low-fidelity RED
5-Ethyl-1-Nonene,C=C\CCC(CCCC)CC,19780-74-6,6.252,1.006,0.6736096792653739,low-fidelity RED
3-Methyl-3-Ethyl-1-Pentene,C=CC(C)(CC)CC,6196-60-7,5.563,1.013,0.41608292442733086,low-fidelity RED
"3,4-Dimethyl-1-Pentene",C=CC(C)C(C)C,7385-78-6,5.65,0.985,0.5900211860602973,low-fidelity RED
"3,4-Dimethyl-1-Hexene",C=CC(C)C(C)CC,16745-94-1,5.902,1.043,0.45552167895721474,low-fidelity RED
3-Methyl-1-Heptene,C=CC(C)CCCC,9/7/10 0:00,5.644,1.04,0.673145600891813,low-fidelity RED
3-Ethyl-1-Pentene,C=CC(CC)CC,4/4/38 0:00,5.714,1.009,0.7369701486491836,low-fidelity RED
"4,5-Dimethyl-1-Hexene",C=CCC(C)C(C)C,16106-59-5,5.648,0.8964,0.6284902544988266,low-fidelity RED
4-Methyl-1-Hexene,C=CCC(C)CC,3769-23-1,5.633,0.9665,0.6133922073192648,low-fidelity RED
4-Ethyl-1-Hexene,C=CCC(CC)CC,16746-85-3,6.118,1.02,0.7619875327064085,low-fidelity RED
"5,5-Dimethyl-1-Hexene",C=CCCC(C)(C)C,7116-86-1,5.511,0.9246,0.5573374202401988,low-fidelity RED
5-Methyl-1-Heptene,C=CCCC(C)CC,13151-04-7,5.529,0.9826,0.6041522986797286,low-fidelity RED
6-Methyl-1-Heptene,C=CCCCC(C)C,5026-76-6,5.607,1.023,0.7110731326663945,low-fidelity RED
7-Methyl-1-Octene,C=CCCCCC(C)C,13151-06-9,5.679,1.019,0.7508328708840603,low-fidelity RED
8-Methyl-1-Nonene,C=CCCCCCC(C)C,26741-24-2,5.625,1.051,0.6490377492873584,low-fidelity RED
1-Methyl-1-Ethylcyclohexane,C1(CCCCC1)(CC)C,4926-90-3,5.659,1.107,0.7008922884438095,low-fidelity RED
Octadecylbenzene,C1=CC=CC=C1CCCCCCCCCCCCCCCCCC,7/2/45 0:00,6.257,0.8937,0.9334077351297233,low-fidelity RED
Eicosylbenzene,C1=CC=CC=C1CCCCCCCCCCCCCCCCCCCC,2398-68-7,6.257,0.8937,0.8565920849505899,low-fidelity RED
"1,1-Dicyclohexyltetradecane",C1C(CCCC1)C(C2CCCCC2)CCCCCCCCCCCCC,55334-08-2,6.212,0.9935,0.8007808689023481,low-fidelity RED
"1,1-Dicyclohexylheptane",C1C(CCCC1)C(CCCCCC)C2CCCCC2,2090-15-5,6.212,0.9935,0.8507349763586782,low-fidelity RED
"1,1-Dicyclohexylethane",C1CCCCC1C(C)C2CCCCC2,2319-61-1,5.859,0.8734,0.9506576670915773,low-fidelity RED
Tritriacontylcyclohexane,C1CCCCC1C(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,55517-75-4,5.972,1.033,0.6010407640085659,low-fidelity RED
Eicosylcyclohexane,C1CCCCC1CCCCCCCCCCCCCCCCCCCC,4443-55-4,5.517,0.8841,0.6010407640085659,low-fidelity RED
"2,5-Dimethyl-Cis-3-Hexene",CC(\C=C/C(C)C)C,10557-44-5,5.535,0.8476,0.6149186938124421,low-fidelity RED
β-Elemene,CC(=C)[C@H]1CC[C]([C@H](C1)C(=C)C)(C)C=C,33880-83-0,5.568,1.275,0.8280247580839593,low-fidelity RED
(-)-β-Elemene,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,515-13-9,5.568,1.275,0.8280247580839593,low-fidelity RED
Santolina Triene,CC(=CC(C=C)C(=C)C)C,2153-66-4,6.486,1.128,0.8735702604828074,low-fidelity RED
Amber Carbinol,CC(C(C)C(C)C(C)(C)C)C(C)O,87118-95-4,6.309,0.8678,0.7713624310270756,low-fidelity RED
2-Methyl-3-Ethyl-1-Pentene,CC(C(CC)CC)=C,19780-66-6,6.284,0.9924,0.6103277807866851,low-fidelity RED
"2,3-Dimethylheptadecane",CC(C(CCCCCCCCCCCCCC)C)C,61868-03-9,5.647,0.9094,0.4513867521316948,low-fidelity RED
"2,2-Dimethyl-3-Ethylpentane",CC(C)(C(CC)CC)C,16747-32-3,5.501,0.932,0.15411035007422477,low-fidelity RED
"2,3,3-Trimethyl-1-Butene",CC(C)(C)C(C)=C,594-56-9,5.645,0.8976,0.48541219597369006,low-fidelity RED
"2,2,3-Trimethylbutane",CC(C)(C)C(C)C,464-06-2,5.531,0.8606,0.35178118198675773,low-fidelity RED
"2,2,4,4-Tetramethyl-3-Pentanol",CC(C)(C)C(O)C(C)(C)C,14609-79-1,6.255,0.8188,0.6025985396596975,low-fidelity RED
p-Di-Tert-Butylbenzene,CC(C)(C)C1=CC=C(C(C)(C)C)C=C1,1012-72-2,6.29,0.9012,0.6828250141873836,low-fidelity RED
Tert-Butylcyclohexane,CC(C)(C)C1CCCCC1,3178-22-1,5.716,0.9081,0.4015594601052247,low-fidelity RED
"2,2,4-Trimethylpentane",CC(C)(C)CC(C)C,540-84-1,5.613,0.8216,0.40000000000000036,high-fidelity RED
"2,2,4,5-Tetramethylhexane",CC(C)(C)CC(C)C(C)C,16747-42-5,5.922,0.8856,0.10606601717798263,low-fidelity RED
"2,2,4-Trimethylhexane",CC(C)(C)CC(C)CC,16747-26-5,5.665,0.9232,0.10606601717798263,low-fidelity RED
"1-Phenyl-2,2-Dimethylpropane",CC(C)(C)CC1=CC=CC=C1,1007-26-7,6.406,0.959,0.9826622003516772,low-fidelity RED
"2,2,5-Trimethylhexane",CC(C)(C)CCC(C)C,3522-94-9,5.493,0.8182,0.10606601717798263,low-fidelity RED
"2,2,6,6-Tetramethylheptane",CC(C)(C)CCCC(C)(C)C,40117-45-1,5.582,0.8092,0.15411035007422477,low-fidelity RED
"2,2-Dimethylheptane",CC(C)(C)CCCCC,1071-26-7,5.579,0.7936,0.03535533905932738,low-fidelity RED
"2,2-Dimethyloctane",CC(C)(C)CCCCCC,15869-87-1,5.526,0.7988,0.1060660171779818,low-fidelity RED
