Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
1-Methyl-3-(1-Methylethenyl)Benzene,c(cc(c1)C)cc1C(=C)C,1124-20-5,6.434,1.09,0.672681202353685,low-fidelity RED
"Benzenamine, N,N,3-Timethyl-",c(cc(c1)C)cc1N(C)C,121-72-2,6.181,1.017,0.9253377761660874,low-fidelity RED
m-Ethylstyrene,c(cc(c1)C=C)cc1CC,7525-62-4,6.431,1.212,0.6800735254367717,low-fidelity RED
1-Methyl-4-Isobutylbenzene,c(cc(c1)CC(C)C)c(c1)C,4/6/61 0:00,6.406,1.07,0.8035079339994097,low-fidelity RED
p-Ethylstyrene,c(cc(c1)CC)c(c1)C=C,7/7/54 0:00,6.42,1.126,0.8268917704270612,low-fidelity RED
1-Ethyl-4-Propylbenzene,c(cc(c1)CCC)c(c1)CC,20024-90-2,6.181,0.9727,0.758287544405155,low-fidelity RED
"1,2-Dimethyl-4-Propylbenzene",c(cc(c1)CCC)c(c1C)C,3982-66-9,6.179,1.029,0.7454025757937782,low-fidelity RED
"1,3-Dimethyl-4-Isopropylbenzene",c(cc(c1C)C(C)C)c(c1)C,4706-89-2,6.054,1.067,0.7814249804043885,low-fidelity RED
"1,2-Dimethyl-3-Isopropylbenzene",c(cc(c1C)C)cc1C(C)C,22539-65-7,6.186,1.178,0.7814249804043885,low-fidelity RED
"1,2,3-Trimethyl-4-Ethylbenzene",c(cc(c1C)CC)c(c1C)C,61827-86-9,6.47,1.14,0.5640257086339239,low-fidelity RED
"1-Methyl-2,6-Diethyl Benzene",c(cc(c1C)CC)cc1CC,13632-95-6,6.523,1.033,0.8143248737451165,low-fidelity RED
"1-Methyl-3,4-Diethylbenzene",c(cc(c1CC)CC)c(c1)C,13732-80-4,6.474,0.9631,0.8143248737451165,low-fidelity RED
"1,2,3,4-Tetrahydro-6-Methylnaphthalene",c(cc(CCC1)c2C1)c(c2)C,1680-51-9,6.22,0.9779,0.6619101147436863,low-fidelity RED
2-Iodopentane,C(CC)C(I)C,637-97-8,5.31,0.8021,0.9927864825832385,low-fidelity RED
3-Methyldiphenylmethane,c(ccc1C-c(ccc2)cc2C)cc1,620-47-3,6.477,1.065,0.5135659646043536,low-fidelity RED
3-Ethyldiphenylmethane,c(ccc1C-c(ccc2)cc2CC)cc1,28122-24-9,6.207,1.127,0.45893899376714536,low-fidelity RED
"1,1,2-Triphenylethane",c(ccc1C(-c(ccc2)cc2)C-c(ccc3)cc3)cc1,1520-42-9,6.333,1.07,0.43011626335213143,low-fidelity RED
2-Phenylbutene-1,c(ccc1C(=C)CC)cc1,2039-93-2,6.254,1.046,0.7952986860293431,low-fidelity RED
Trans-(1-Methyl-1-Propenyl)Benzene,c(ccc1C(=C\C)C)cc1,768-00-3,6.041,1.029,0.680073525436772,low-fidelity RED
1-Methyl-3-sec-Butylbenzene,c(ccc1C(C)CC)c(c1)C,1772-10-7,6.274,1.097,0.7158910531638174,low-fidelity RED
1-Methyl-2-sec-Butylbenzene,c(ccc1C(C)CC)cc1C,1595-06-8,6.458,1.004,0.7232738070744713,low-fidelity RED
